pen,complexity,contrast
0.004,4,7.02975
0.009,9,6.16194
0.014,14,5.22071
0.019,19,5.17469
0.024,24,5.13399
0.029,29,5.08707
0.034,34,5.05738
0.039,39,5.02772
0.044,44,4.99665
0.049,49,4.95389
0.054,54,4.91258
0.059,59,4.87579
0.064,64,4.84695
0.069,69,4.81715
0.074,74,4.79572
0.079,79,4.77366
0.084,84,4.76551
0.089,89,4.71792
0.094,94,4.68706
0.099,99,4.65812
0.104,104,4.62846
0.109,109,4.61731
0.114,114,4.60916
0.119,119,4.60111
0.124,124,4.59352
0.129,129,4.5863
0.134,134,4.57808
0.139,139,4.56577
0.144,144,4.55665
0.149,149,4.54879
0.154,154,4.54181
0.159,159,4.5352
0.164,164,4.52863
0.169,169,4.52191
0.174,174,4.51682
0.179,179,4.51065
0.184,184,4.50457
0.189,189,4.49878
0.194,194,4.49302
0.199,199,4.48762
0.204,204,4.47945
0.209,209,4.47378
0.214,214,4.46856
0.219,219,4.46361
0.224,224,4.45748
0.229,229,4.45257
0.234,234,4.44579
0.239,239,4.43715
0.244,244,4.43252
0.249,249,4.41842
