name,pen_shape,complexity,L1,L2,deviance
0,18.5143571914,1,0.2273459411,0.2739933318,16.1672373623
3,59.3635114492,4,0.1240507408,0.1572520748,6.2171652019
5,82.4291279772,6,0.0978811604,0.1212729371,4.3645960417
6,93.203256729,7,0.09023971,0.1099587915,3.7166534899
7,103.5671310495,8,0.0889122677,0.1083877407,3.6247757495
8,113.5696447241,9,0.0812528162,0.1015874627,3.3387469171
9,123.2488852656,10,0.0798799398,nan,3.3105164505
11,141.7541436363,12,0.0760023628,0.0958539273,2.860393533
12,150.6260744907,13,0.0656241297,0.086437219,2.4784110444
13,159.2688796552,14,0.057426476,0.0733237816,2.0113355811
14,167.6977655779,15,0.0540122904,0.0707105469,1.8813062146
15,175.9259333852,16,0.0539096627,0.0676261182,1.7436783208
16,183.9649524769,17,0.0501805854,0.0651217058,1.644741824
17,191.8250464645,18,0.04560199,0.0545610267,1.2574122087
18,199.515315781,19,0.0431348935,0.0517021125,1.2062977302
21,221.6447897929,22,0.0363414906,0.0453915392,1.0087649328
22,228.7297786902,23,0.0359523516,0.0442197329,0.9283378921
24,242.4965954563,25,0.0275547013,0.0334340848,0.6240203449
25,249.1881761994,26,nan,0.0331872932,0.6149328036
27,262.2093141006,28,0.0249859198,0.0306477517,0.4896853614
28,268.5465895131,29,0.0217251702,0.025891737,0.3967360041
29,274.7730373525,30,0.02142627,0.0257088681,0.3899691943
30,280.8918903423,31,0.0206017514,0.0249683287,0.3382073215
31,286.9061734877,32,0.0139965124,0.0169094072,0.1536087946
32,292.8187232914,33,0.0110654859,0.0139702164,0.1407572426
33,298.632204655,34,0.0096350744,0.0120305682,0.1058287239
36,315.5026149387,37,nan,nan,0.1053713892
37,320.9435279839,38,0.0094778325,nan,0.0894725989
38,326.2965908598,39,0.0062115441,0.0079858484,0.0536481822
39,331.5637004554,40,0.0038839078,0.0047866711,0.036776192
40,336.746657965,41,0.0030529447,0.0038471175,0.0218118407
41,341.8471757605,42,5.52004453128997E-12,3.61210306122456E-11,4.73723222356727E-10
42,346.8668836137,43,2.71592583694009E-12,1.25651458802E-11,2.33049183121764E-10
